country	att1	att2	total	region
블랙딜	3289	2658	5947	한국
일대일	7913	703	8616	한국
스텝 업: 올 인	319532	238632	558935	외국
라스트베가스	135811	31471	167482	외국
리스본행 야간열차	19679	50383	70062	외국
달라스 바이어스 클럽	41111	25527	66676	외국
클라우즈 오브 실스마리아	10208	20687	30895	외국
지골로 인 뉴욕	26477	2218	28695	외국
꼬마 니콜라의 여름방학	24253	3398	27651	외국
왓 이프	20277	1234	21511	외국
초원의 왕 도제	18405	2175	20580	외국
사막에서 연어낚시	10938	2456	16483	외국
산타바바라	13459	1756	15215	한국
시선	7515	3211	10726	한국
올드보이	7069	0	7069	외국
변호인	2454085	8897998	11352083	한국
논스톱	1017140	1064051	2081191	외국
남자가 사랑할 때	796895	1175434	1972329	한국
해무(海霧)	1074458	388923	1463381	한국
인간중독	784372	652813	1437285	한국
빅매치	664121	452640	1116761	한국
패션왕	408562	180473	591002	한국
주온 : 끝의 시작	348373	62055	410428	외국
미녀와 야수	240089	74901	315968	외국
러브, 로지	231169	56403	287572	외국
저스틴	177962	50757	229577	외국
헤라클레스 : 레전드 비긴즈	189023	31223	220246	외국
원 챈스	70844	8290	79134	외국
블랙 가스펠	31547	18355	49902	한국
사이비	11947	6984	18942	한국
아메리칸 허슬	115239	36611	151850	외국
카트	503121	280438	783589	한국
소녀괴담	337695	141833	479528	한국
개를 훔치는 완벽한 방법	163226	126246	289472	한국
백프로	35343	1059	36402	한국
마이 블랭키	24361	7431	31798	외국
엘리아스: 바다의 보물을 찾아라!	12842	4053	16895	외국
로코왕국의 전설: 엘프킹을 찾아서	10589	4167	14756	외국
호비와 쿠우의 어드벤처 : 고래의 노래	8871	8147	17018	외국
사다코 2	12200	389	12589	외국
마야	156110	105141	261425	외국
터널 3D	72485	4933	77418	한국
부니 베어: 롤라 구출 대모험	26436	18376	44812	외국
베스트 오퍼	26597	17226	43823	외국
더 테너 리리코 스핀토	33673	5596	39269	한국
그날 본 꽃의 이름을 우리는 아직 모른다	23001	11513	34514	외국
캡틴 하록	13135	1986	15121	외국
프로즌 그라운드	13746	107	13853	외국
엠파이어 스테이트	5902	200	6102	외국
다이빙벨	11439	36482	47921	한국
신이 보낸 사람	190992	226138	417130	한국
제자, 옥한흠	13072	35805	48877	한국
마미	18914	36974	55888	외국
만신	13466	19031	32497	한국
창문 넘어 도망친 100세 노인	139264	99510	238774	외국
세이빙 산타	170854	61646	232500	외국
베리 굿 걸	98735	3564	102299	외국
살인자	84882	2209	87171	한국
페이스 오브 러브	51730	22908	74638	외국
다이애나	52751	4121	56872	외국
슈퍼노바 지구 탈출기	31937	2359	34296	외국
행복배달부 팻아저씨	24156	4042	28698	외국
디노타샤: 공룡대탐험	21872	1658	23530	외국
슈퍼처방전	16410	2183	18593	외국
웨스턴 리벤지	13878	1658	15536	외국
오드토머스	14506	973	15479	외국
할리데이	8304	507	8811	외국
드래프트 데이	6280	1365	7645	외국
프랭크	31091	19889	51038	외국
내가 잠들기 전에	44348	3204	47552	외국
그레이트 뷰티	13998	26607	40605	외국
킬 유어 달링	19429	12872	32301	외국
더 파크랜드	5129	948	6077	외국
버진 스노우	12707	1122	14029	외국
자유의 언덕	16760	19173	35933	한국
또 하나의 약속	235108	253242	488620	한국
쿰바: 반쪽무늬 얼룩말의 대모험	55213	16829	72042	외국
컬러풀 웨딩즈	143591	41230	184821	외국
우리별 일호와 얼룩소	31276	9350	40626	한국
툼스톤	172242	69676	241918	외국
가시	117674	20878	138552	한국
매직 인 더 문라이트	48409	23104	71513	외국
굿모닝 맨하탄	21954	3256	25210	외국
타임 투 러브	18110	1431	19541	외국
프라이버시	10898	82	10980	외국
파이어스톰	4776	145	4921	외국
더 기버: 기억전달자	93887	12569	106456	외국
그렇게 아버지가 된다	25928	92873	118801	외국
분신사바 2	77695	1108	78803	외국
러브액츄얼리: 크리스마스 에디션	19057	11775	31935	외국
선샤인 온 리스	21742	3689	25431	외국
혼스	16449	872	17321	외국
