country	news1	att1	news2	att2	region	total
블랙딜	0	3289	0	2658	한국	5947
일대일	0	7913	0	703	한국	8616
스텝 업: 올 인	17	319532	24	238632	외국	558935
라스트베가스	0	135811	0	31471	외국	167482
리스본행 야간열차	61	19679	157	50383	외국	70062
달라스 바이어스 클럽	904	41111	1049	25527	외국	66676
클라우즈 오브 실스마리아	0	10208	0	20687	외국	30895
지골로 인 뉴욕	0	26477	0	2218	외국	28695
꼬마 니콜라의 여름방학	0	24253	0	3398	외국	27651
왓 이프	0	20277	0	1234	외국	21511
초원의 왕 도제	0	18405	0	2175	외국	20580
사막에서 연어낚시	0	10938	0	2456	외국	16483
산타바바라	0	13459	0	1756	한국	15215
시선	0	7515	0	3211	한국	10726
올드보이	0	7069	0	0	외국	7069
변호인	6685	2454085	23792	8897998	한국	11352083
논스톱	661	1017140	2055	1064051	외국	2081191
남자가 사랑할 때	3119	796895	4113	1175434	한국	1972329
해무(海霧)	44	1074458	51	388923	한국	1463381
인간중독	5297	784372	7543	652813	한국	1437285
빅매치	4822	664121	6148	452640	한국	1116761
패션왕	3457	408562	4649	180473	한국	591002
주온 : 끝의 시작	0	348373	0	62055	외국	410428
미녀와 야수	0	240089	0	74901	외국	315968
러브, 로지	0	231169	0	56403	외국	287572
저스틴	0	177962	0	50757	외국	229577
헤라클레스 : 레전드 비긴즈	0	189023	0	31223	외국	220246
원 챈스	0	70844	0	8290	외국	79134
블랙 가스펠	1083	31547	1195	18355	한국	49902
사이비	0	11947	0	6984	한국	18942
아메리칸 허슬	0	115239	0	36611	외국	151850
카트	0	503121	0	280438	한국	783589
소녀괴담	1934	337695	2344	141833	한국	479528
개를 훔치는 완벽한 방법	0	163226	0	126246	한국	289472
백프로	918	35343	1055	1059	한국	36402
마이 블랭키	0	24361	0	7431	외국	31798
엘리아스: 바다의 보물을 찾아라!	0	12842	0	4053	외국	16895
로코왕국의 전설: 엘프킹을 찾아서	0	10589	0	4167	외국	14756
호비와 쿠우의 어드벤처 : 고래의 노래	0	8871	0	8147	외국	17018
사다코 2	0	12200	0	389	외국	12589
마야	0	156110	0	105141	외국	261425
터널 3D	0	72485	0	4933	한국	77418
부니 베어: 롤라 구출 대모험	11	26436	19	18376	외국	44812
베스트 오퍼	70	26597	109	17226	외국	43823
더 테너 리리코 스핀토	1256	33673	1436	5596	한국	39269
그날 본 꽃의 이름을 우리는 아직 모른다	0	23001	0	11513	외국	34514
캡틴 하록	0	13135	0	1986	외국	15121
프로즌 그라운드	0	13746	0	107	외국	13853
엠파이어 스테이트	0	5902	0	200	외국	6102
다이빙벨	1247	11439	1974	36482	한국	47921
신이 보낸 사람	0	190992	0	226138	한국	417130
제자, 옥한흠	13	13072	47	35805	한국	48877
마미	217	18914	599	36974	외국	55888
만신	0	13466	0	19031	한국	32497
창문 넘어 도망친 100세 노인	0	139264	0	99510	외국	238774
세이빙 산타	0	170854	0	61646	외국	232500
베리 굿 걸	0	98735	0	3564	외국	102299
살인자	0	84882	0	2209	한국	87171
페이스 오브 러브	0	51730	0	22908	외국	74638
다이애나	1260	52751	1467	4121	외국	56872
슈퍼노바 지구 탈출기	0	31937	0	2359	외국	34296
행복배달부 팻아저씨	0	24156	0	4042	외국	28698
디노타샤: 공룡대탐험	0	21872	0	1658	외국	23530
슈퍼처방전	0	16410	0	2183	외국	18593
웨스턴 리벤지	0	13878	0	1658	외국	15536
오드토머스	0	14506	0	973	외국	15479
할리데이	0	8304	0	507	외국	8811
드래프트 데이	0	6280	0	1365	외국	7645
프랭크	747	31091	4252	19889	외국	51038
내가 잠들기 전에	168	44348	315	3204	외국	47552
그레이트 뷰티	66	13998	151	26607	외국	40605
킬 유어 달링	0	19429	0	12872	외국	32301
더 파크랜드	0	5129	0	948	외국	6077
버진 스노우	0	12707	0	1122	외국	14029
자유의 언덕	1136	16760	2240	19173	한국	35933
또 하나의 약속	3365	235108	10432	253242	한국	488620
쿰바: 반쪽무늬 얼룩말의 대모험	0	55213	0	16829	외국	72042
컬러풀 웨딩즈	0	143591	0	41230	외국	184821
우리별 일호와 얼룩소	587	31276	660	9350	한국	40626
툼스톤	0	172242	0	69676	외국	241918
가시	0	117674	0	20878	한국	138552
매직 인 더 문라이트	0	48409	0	23104	외국	71513
굿모닝 맨하탄	0	21954	0	3256	외국	25210
타임 투 러브	0	18110	0	1431	외국	19541
프라이버시	0	10898	0	82	외국	10980
파이어스톰	0	4776	0	145	외국	4921
더 기버: 기억전달자	0	93887	0	12569	외국	106456
그렇게 아버지가 된다	0	25928	0	92873	외국	118801
분신사바 2	0	77695	0	1108	외국	78803
러브액츄얼리: 크리스마스 에디션	0	19057	0	11775	외국	31935
선샤인 온 리스	0	21742	0	3689	외국	25431
혼스	0	16449	0	872	외국	17321
극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치	0	61160	0	12429	외국	73589
에코	0	16157	0	1584	외국	17741
선 오브 갓	0	170753	0	150340	외국	321127
레드카펫	0	191270	0	118767	한국	310037
무드 인디고	126	13673	196	30873	외국	44546
울브스	100	37655	113	4287	외국	41942
유고와 라라 : 신비의 숲 어드벤처	0	16555	0	3936	외국	20553
위험한 패밀리	0	12581	0	2717	외국	15298
디태치먼트	0	6803	0	5228	외국	12031
님아, 그 강을 건너지 마오	214	100200	3521	4690374	한국	4790574
우아한 거짓말	3093	663730	5381	938911	한국	1602641
한공주	0	84113	0	137471	한국	221584
도희야	0	95783	0	7665	한국	103497
님포매니악 볼륨1	168	33433	317	25588	외국	59021
초콜렛 도넛	0	15939	0	14995	외국	30934
잉여들의 히치하이킹	0	5281	0	22449	한국	27730
님포매니악 볼륨2	0	12331	0	11242	외국	23573
프라미스드 랜드	0	10969	0	11957	외국	23003
누구에게나 찬란한	0	4642	0	12745	한국	18268
마녀	0	6430	0	1109	한국	7544
족구왕	327	9325	4002	34630	한국	43955
스톤	0	9184	0	2397	외국	15365
그 사람 그 사랑 그 세상	0	8901	0	15872	한국	24773
꾸뻬씨의 행복여행	0	67588	0	52755	외국	120343
프란시스 하	99	24855	273	44453	외국	69365
벨과 세바스찬	0	22662	0	4818	외국	27664
해적: 바다로 간 산적	3452	2294572	7670	6335980	한국	8630552
타짜-신의 손	5367	2060373	7917	1937985	한국	3998358
역린	3093	2455060	5826	1387546	한국	3842836
기술자들	4824	1576367	9197	923574	한국	2499953
피끓는 청춘	3456	1058406	4127	609068	한국	1667474
폼페이: 최후의 날	375	772335	758	599009	외국	1371344
헝거게임: 모킹제이	515	604713	890	245045	외국	849758
관능의 법칙	3815	469116	4334	291384	한국	760500
트랜센던스	232	488519	455	202847	외국	694976
플랜맨	2421	446354	2660	172813	한국	619167
몬스터	0	422797	0	101384	한국	524181
엔더스 게임	825	406816	927	80863	외국	487679
캐치미	2484	342405	2830	138869	한국	481274
다이버전트	0	320892	0	99081	외국	419973
나의 독재자	0	306035	0	50643	한국	356678
하이힐	0	237867	0	97370	한국	335237
노벰버 맨	0	213748	0	33281	외국	250099
쓰리데이즈 투 킬	0	179923	0	43698	외국	224963
덕수리 5형제	0	157401	0	47729	한국	205130
익스펜더블 3	0	136291	0	13741	외국	150032
맨홀	0	116479	0	13253	한국	129732
터키	0	89234	0	22945	외국	112179
더 시그널	0	83793	0	19485	외국	103278
짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!	0	48731	0	34558	외국	83289
극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전	31	44605	31	14038	외국	58643
쥬로링 동물탐정 극장판	0	20582	0	821	한국	21403
제보자	2687	855251	9585	877348	한국	1734025
일곱난쟁이	0	171685	0	51221	외국	222906
아빠를 빌려드립니다	0	130629	0	34971	한국	165600
씬 시티: 다크히어로의 부활	0	75228	0	7343	외국	82571
현기증	0	6333	0	4605	한국	10938
앵그리스트 맨	0	26757	0	2132	외국	29321
인사이드 르윈	0	43146	0	59336	외국	102482
겨울왕국	754	1703784	13963	8580910	외국	10284694
어메이징 스파이더맨 2	992	1886197	2059	2278950	외국	4165147
캡틴 아메리카: 윈터 솔져	1366	1682141	2383	2280147	외국	3962288
말레피센트	497	686590	864	710547	외국	1397137
퓨리	2513	654111	3537	703186	외국	1357297
가디언즈 오브 갤럭시	393	815941	681	494244	외국	1310185
로보캅	337	747076	536	230503	외국	977579
하늘에서 음식이 내린다면 2	123	291608	290	508396	외국	800004
비행기 2: 소방구조대	0	218799	0	90554	외국	309353
비행기	0	149354	0	82200	외국	231554
니드 포 스피드	0	93344	0	10867	외국	104211
인보카머스	91	61422	96	6696	외국	68118
천국에 다녀온 소년	61	13610	76	28347	외국	41957
세이빙 미스터 뱅크스	0	9215	0	3616	외국	12831
군도: 민란의 시대	4486	3629956	6168	1130404	한국	4760931
용의자	4771	1965450	10847	2146120	한국	4111633
끝까지 간다	3837	922391	8499	2500917	한국	3423833
우리는 형제입니다	2518	528068	3671	437957	한국	966025
상의원	5040	628086	5600	143438	한국	771524
조선미녀삼총사	0	434015	0	39547	한국	473562
프랑켄슈타인: 불멸의 영웅	0	283866	0	14289	외국	298155
그레이스 오브 모나코	0	140042	0	93637	외국	234184
타잔 3D	233	428488	337	163835	외국	594506
넛잡: 땅콩 도둑들	384	320197	384	153900	한국	474097
더 바디	139	59027	232	4335	외국	63362
결혼전야	3259	544936	3982	643425	한국	1189302
어네스트와 셀레스틴	42	30213	83	14411	외국	44624
파가니니: 악마의 바이올리니스트	74	21225	109	15397	외국	36622
몬스터 왕국	0	29578	0	5310	외국	34888
나의 사랑 나의 신부	3161	902368	5383	1225956	한국	2128324
눈의 여왕 2: 트롤의 마법거울	250	468123	321	147853	외국	616031
오큘러스	0	202648	0	73651	외국	276949
덤 앤 더머 투	0	149128	0	31585	외국	180713
브릭 맨션: 통제불능 범죄구역	150	70365	159	886	외국	71251
필로미나의 기적	0	24245	0	9012	외국	33257
명량	4843	6604292	22297	10983505	한국	17587797
국제시장	5981	1944175	26544	12269473	한국	14213648
수상한 그녀	3182	1468488	8231	7151949	한국	8620437
트랜스포머: 사라진 시대	710	2963116	1854	2328821	외국	5291937
드래곤 길들이기 2	410	1204226	1045	1789392	외국	2993618
표적	2524	1347532	9724	1486461	한국	2834778
노아	698	1360852	1902	660777	외국	2021629
집으로 가는 길	3226	1005241	4356	838995	한국	1844236
마다가스카의 펭귄	361	966812	755	690659	외국	1657497
두근두근 내 인생	4923	1042288	5851	568548	한국	1610991
찌라시: 위험한 소문	1418	748766	1911	467810	한국	1216789
방황하는 칼날	1207	573336	1837	408682	한국	982018
썬더와 마법저택	141	395809	274	503970	외국	899779
우는 남자	4293	471436	5264	84645	한국	556081
마담 뺑덕	0	353014	0	109627	한국	462650
명탐정 코난 : 이차원의 저격수	0	254827	0	142554	외국	397381
닌자터틀	0	348485	0	45602	외국	394087
천재 강아지 미스터 피바디	0	141328	0	238704	외국	380032
좋은 친구들	0	257597	0	109034	한국	366631
잭 라이언 : 코드네임 쉐도우	0	299852	0	26840	외국	326692
극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성	0	258880	0	61529	외국	320409
극장판 루팡 3세 VS 명탐정 코난	0	127297	0	96767	외국	224064
명탐정 코난 : 탐정들의 진혼가	0	124238	0	57887	외국	182125
정글히어로	0	52194	24	19136	한국	71330
조난자들	0	7468	0	3380	한국	10848
메이크 유어 무브	0	7992	0	298	한국	8290
고스트 메신저 극장판	0	15312	0	7649	한국	22961
꼬마 잠수함 올리 2	0	23367	0	9005	외국	32451
꼬마잠수함 올리	0	17995	0	10419	외국	28414
꼬마영웅 경찰차 프로디2	0	19469	0	4533	외국	24441
동경가족	0	11270	0	19056	외국	30326
마인드스케이프	0	23663	0	2749	외국	26412
천하무적 키코리키	0	20932	0	814	외국	21746
그랜드 피아노	0	19620	0	617	외국	20237
극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘	0	12982	0	2386	외국	15368
피막	0	10495	0	30	외국	10525
인터스텔라	1148	2671954	5930	7582414	외국	10254368
엣지 오브 투모로우	380	2092205	1321	2526215	외국	4618528
그래비티	265	1082830	1667	2111672	외국	3194502
호빗: 다섯 군대 전투	520	1507683	1027	1326381	외국	2834482
호빗: 스마우그의 폐허	322	1205242	919	1076133	외국	2281946
인투 더 스톰	265	881343	582	1194310	외국	2075859
300: 제국의 부활	540	977667	994	614001	외국	1591668
애나벨	148	522267	311	398640	외국	920907
고질라	370	605520	610	103911	외국	709431
레고 무비	0	126533	0	106898	외국	235076
허큘리스	0	82915	0	3007	외국	85947
숲속으로	0	306382	0	34275	외국	340657
황제를 위하여	2674	369901	3223	219619	한국	589520
어바웃 타임	219	804573	1440	2561338	외국	3365911
