name	weekorder	att	news
해적: 바다로 간 산적	-3		95
해적: 바다로 간 산적	-2		447
해적: 바다로 간 산적	-1		1059
해적: 바다로 간 산적	0		1298
해적: 바다로 간 산적	1	1305124	383
해적: 바다로 간 산적	2	2507046	370
해적: 바다로 간 산적	3	1707661	530
해적: 바다로 간 산적	4	1248878	190
해적: 바다로 간 산적	5	569089	570
해적: 바다로 간 산적	6	907147	163
해적: 바다로 간 산적	7	190429	84
해적: 바다로 간 산적	8	99272	95
해적: 바다로 간 산적	9	53070	463
해적: 바다로 간 산적	10	29004	184
해적: 바다로 간 산적	11	12121	44
해적: 바다로 간 산적	12	1191	22
해적: 바다로 간 산적	13	520	49
해적: 바다로 간 산적	14		37
해적: 바다로 간 산적	15		49
해적: 바다로 간 산적	16		1199
해적: 바다로 간 산적	17		339
